citric acid;free sulfur dioxide;alcohol
0;11;9.4
0;25;9.8
0.04;15;9.8
0.56;17;9.8
0;11;9.4
0;13;9.4
0.06;15;9.4
0;15;10
0.02;9;9.5
0.36;17;10.5
0.08;15;9.2
0.36;17;10.5
0;16;9.9
0.29;9;9.1
0.18;52;9.2
0.19;51;9.2
0.56;35;10.5
0.28;16;9.3
0.08;6;9
0.51;17;9.2
0.48;29;9.4
0.31;23;9.7
0.21;10;9.5
0.11;9;9.4
0.14;21;9.7
0.16;11;9.3
0.24;4;9.5
0.21;10;9.5
0;14;9.4
0;8;9.8
0.07;17;10.1
0;22;10.6
0.12;15;9.8
0.12;40;9.4
0.25;13;9.2
0;5;9.6
0.14;3;10.8
0.28;13;9.7
0.09;7;9.8
0.36;12;10.5
0.36;12;10.5
0.3;17;9.3
0.2;8;10.5
0.22;9;10.3
0.02;5;9.5
0.15;8;13.1
0.43;22;9.2
0.52;12;9.5
0.23;5;9.2
0.37;12;9.2
0.26;4;9.2
0.04;8;9.4
0.04;6;9.4
0.36;30;9.4
0.15;33;10.2
0.04;25;9.5
0.57;4;9.6
0.12;50;9.4
0.18;17;10
0.31;9;9.4
0.4;19;9.2
0.49;20;9.3
0.16;12;9.5
0.05;13;9.8
0.05;4;10.9
0.05;4;10.9
0.11;11;9.6
0.07;6;10.7
0.57;27;10.7
0.05;8;10.5
0.08;15;9.5
0.23;17;9.5
0.22;18;9.5
0.26;11;9.2
0.54;28;9.6
0.64;9;10.5
0.64;9;10.5
0;14;10.7
0.12;12;10.1
0.2;27;9.1
0.2;3;9.2
0.7;22;9.4
0.47;21;9.1
0.26;16;9.4
0.48;18;10.3
0.15;19;10.1
0.28;20;9.9
0.26;9;9.6
0.44;34;9.5
0.08;8;9
0.26;42;9.5
0.28;20;9.9
0.29;19;9.8
0.26;9;9.6
0.04;41;10.5
0.17;17;12.9
0;8;10.7
0.25;3;9.2
0.06;5;9.8
0.18;13;9
0.3;11;10.2
0.3;8;10.4
0.18;13;9
0.22;12;9.2
0.24;5;9.4
0.22;12;9.2
0.68;18;9.3
0.31;15;9.3
0.53;18;9.6
0.52;37;9.3
0.19;12;9.5
0.09;11;9.8
0.1;14;9.8
0.44;22;9.7
0.19;12;9.5
0.31;13;10.5
0.28;11;10
0.12;7;9.4
0.04;14;10.9
0.08;22;9.2
0.09;10;9
0.04;14;10.9
0;3;9.2
0;11;9.5
0.17;21;9.5
0.04;27;9.4
0;3;10.9
0;3;10.9
0.16;3;10.5
0.15;6;9.4
0.56;30;9.4
0.09;17;13
0.09;17;13
0.01;17;9.8
0.05;13;9.9
0.11;16;9.6
0.15;10;9.5
0.36;13;9.2
0.19;15;9.5
0.19;17;9.5
0.11;16;9.6
0.15;10;9.5
0;27;14
0.08;3;9.4
0;27;14
0.55;32;9.4
0.02;21;10
0.26;10;9.3
0.1;12;10.2
0.44;11;10.5
0.47;5;10.3
1;32;9.4
0.03;25;10.1
0.03;25;10.1
0.42;29;10.5
0.42;28;10.5
0.42;29;10.5
0.42;28;10.5
0;12;9.3
0.18;18;9.3
0.03;7;9.6
0.02;9;9.2
0.04;17;10
0.26;36;9.4
0.26;35;9.4
0.48;14;9.5
0.1;18;10.2
0.03;17;9
0.07;11;10.4
0.24;15;9.5
0.03;4;9.1
0.17;6;9.2
0.17;6;9.2
0.05;24;11.5
0.21;7;9.5
0.04;19;9.5
0.21;7;9.5
0.42;8;10.5
0;7;9.6
0.14;10;9.5
0.14;10;9.5
0.49;23;9.3
0.02;16;9.3
0.2;11;9.3
0.21;8;9.3
0.57;26;9.7
0.48;14;9.2
0.1;9;9.7
0.33;15;9.5
0.32;17;9.5
0.35;21;9.4
0.25;21;9.8
0.12;16;9.5
0.21;7;9.7
0.21;7;9.7
0.33;24;9.4
0.3;15;10.2
0.6;12;10.1
0.08;13;13
0.06;12;11.4
0.47;9;10.3
0.48;39;9.3
0.11;16;9.5
0.35;16;9.2
0.36;14;9.2
0.74;9;10.8
0.74;9;10.8
0.31;26;9.3
0.28;18;9.4
0.58;7;10.5
0.6;5;12.4
0.24;10;10
0.64;5;10.2
0.26;28;10.1
0.08;10;9.8
0.49;26;10.5
0.16;13;11
0.22;11;9.1
0.19;10;9.7
0.33;24;9.5
0.37;24;9.4
0.26;16;9.4
0.04;5;9.5
0.25;8;10
0.36;15;10.4
0.25;29;10.5
0.5;27;9.5
0.14;9;9.8
0.25;29;10.5
0.25;10;11
0.04;19;12.2
0.06;12;9.9
0.2;18;9.6
0.25;10;11
0.09;7;9
0;14;9
0;14;9
0;15;9.2
0;14;9
0.09;7;9
0.37;5;9.3
0.56;6;10.9
0.1;28;9.8
0.44;10;9.2
0.44;10;9.2
0;6;9.9
0.07;16;9.5
0.17;11;9.3
0.06;9;9.8
0;6;9.9
0.44;16;10
0;16;9.9
0.48;5;10.5
0.42;8;9.5
0;16;9.9
0.23;17;9.3
0.37;5;9.2
0;12;9.2
0.76;8;9.4
0.47;14;10.5
0.23;18;9.3
0.04;12;9.4
0.03;10;10
0.23;23;9.3
0.49;5;10.9
0.52;6;10.2
0;26;9.8
0.46;15;12.8
0.04;7;9.4
0.51;4;10.1
0.06;27;10.7
0.51;4;10.1
0.58;17;10.1
0.2;10;9.4
0.18;27;9.4
0.06;27;10.7
0.04;7;9.4
0.51;4;10.1
0.45;5;12.6
0.32;10;10.5
0.44;6;9.3
0.68;5;9.9
0.12;12;9.1
0.32;10;10.5
0.07;32;9.8
0.07;32;9.8
0.55;25;10.3
0.12;29;10.3
0.09;20;10.6
0.53;33;9.2
0.09;20;10.6
0.48;6;10.5
0.23;18;10.3
0.25;5;10.1
0.52;17;9.5
0.46;5;9.5
0.37;26;9.9
0.06;8;9.6
0.02;5;9.7
0.06;8;9.6
0.06;20;10.7
0.48;7;10.1
0.12;12;10
0.12;5;9.5
0.6;12;9.2
0.48;6;9.3
0.32;7;9.4
0.42;6;9.5
0.44;5;9.5
0.38;9;9.5
0.48;6;9.3
0.24;15;9.4
0.31;19;9.5
0.3;30;9.4
0.29;26;11
0.29;20;11
0.23;37;10.1
0.12;30;10.4
0.39;21;11.5
0.12;30;10.4
0.39;21;11.5
0.26;25;9.7
0.05;6;9.3
0.42;35;9.5
0.2;13;9.2
0.2;13;9.2
0.66;6;11.5
0.5;5;11.5
0.62;6;9.7
0.39;7;9.5
0.64;10;12.5
0.64;10;12.5
0.28;21;9.4
0.08;16;11
0.01;17;11.7
